sequence,date,date_formatted
0,2000-11-01,November 2000
1,2000-12-01,December 2000
2,2001-02-01,February 2001
3,2001-05-01,May 2001
4,2001-06-01,June 2001
5,2001-09-01,September 2001
6,2001-11-01,November 2001
7,2002-01-01,January 2002
8,2002-03-01,March 2002
9,2002-05-01,May 2002
10,2002-06-01,June 2002
11,2002-07-01,July 2002
12,2002-09-01,September 2002
13,2002-11-01,November 2002
14,2003-02-01,February 2003
15,2003-04-01,April 2003
16,2003-06-01,June 2003
17,2003-09-01,September 2003
18,2003-11-01,November 2003
19,2004-01-01,January 2004
20,2004-04-01,April 2004
21,2004-06-01,June 2004
22,2004-08-01,August 2004
23,2004-10-01,October 2004
24,2005-02-01,February 2005
25,2005-04-01,April 2005
26,2005-06-01,June 2005
27,2005-08-01,August 2005
28,2005-10-01,October 2005
29,2005-11-01,November 2005
30,2006-01-01,January 2006
31,2006-02-01,February 2006
32,2006-03-01,March 2006
33,2006-04-01,April 2006
34,2006-05-01,May 2006
35,2006-06-01,June 2006
36,2006-07-01,July 2006
37,2006-08-01,August 2006
38,2006-09-01,September 2006
39,2006-10-01,October 2006
40,2006-11-01,November 2006
41,2006-12-01,December 2006
42,2007-01-01,January 2007
43,2007-02-01,February 2007
44,2007-03-01,March 2007
45,2007-04-01,April 2007
46,2007-05-01,May 2007
47,2007-06-01,June 2007
48,2007-07-01,July 2007
49,2007-08-01,August 2007
50,2007-09-01,September 2007
51,2007-10-01,October 2007
52,2007-11-01,November 2007
53,2007-12-01,December 2007
54,2008-01-01,January 2008
55,2008-02-01,February 2008
56,2008-03-01,March 2008
57,2008-04-01,April 2008
58,2008-05-01,May 2008
59,2008-06-01,June 2008
60,2008-07-01,July 2008
61,2008-08-01,August 2008
62,2008-09-01,September 2008
63,2008-10-01,October 2008
64,2008-11-01,November 2008
65,2008-12-01,December 2008
66,2009-01-01,January 2009
67,2009-02-01,February 2009
68,2009-03-01,March 2009
69,2009-04-01,April 2009
70,2009-05-01,May 2009
71,2009-06-01,June 2009
72,2009-07-01,July 2009
73,2009-08-01,August 2009
74,2009-09-01,September 2009
75,2009-10-01,October 2009
76,2009-11-01,November 2009
77,2009-12-01,December 2009
78,2010-01-01,January 2010
79,2010-02-01,February 2010
80,2010-03-01,March 2010
81,2010-04-01,April 2010
82,2010-05-01,May 2010
83,2010-06-01,June 2010
84,2010-07-01,July 2010
85,2010-08-01,August 2010
86,2010-09-01,September 2010
87,2010-10-01,October 2010
88,2010-11-01,November 2010
89,2010-12-01,December 2010
90,2011-01-01,January 2011
91,2011-02-01,February 2011
92,2011-03-01,March 2011
93,2011-04-01,April 2011
94,2011-05-01,May 2011
95,2011-06-01,June 2011
96,2011-07-01,July 2011
97,2011-08-01,August 2011
98,2011-09-01,September 2011
99,2011-10-01,October 2011
100,2011-11-01,November 2011
101,2011-12-01,December 2011
102,2012-01-01,January 2012
103,2012-02-01,February 2012
104,2012-03-01,March 2012
105,2012-04-01,April 2012
