sequence,date,event,event1,event2,date_formatted
0,2000-11-17,UFC 28: High Stakes,UFC 28: High Stakes,,"November 17, 2000"
1,2000-12-16,UFC 29: Defense of the Belts,UFC 29: Defense of the Belts,,"December 16, 2000"
2,2001-02-23,UFC 30: Battle on the Boardwalk,UFC 30: Battle on the Boardwalk,,"February 23, 2001"
3,2001-05-04,UFC 31: Locked and Loaded,UFC 31: Locked and Loaded,,"May 04, 2001"
4,2001-06-29,UFC 32: Showdown in the Meadowlands,UFC 32: Showdown in the Meadowlands,,"June 29, 2001"
5,2001-09-28,UFC 33: Victory in Vegas,UFC 33: Victory in Vegas,,"September 28, 2001"
6,2001-11-02,UFC 34: High Voltage,UFC 34: High Voltage,,"November 02, 2001"
7,2002-01-11,UFC 35: Throwdown,UFC 35: Throwdown,,"January 11, 2002"
8,2002-03-22,UFC 36: Worlds Collide,UFC 36: Worlds Collide,,"March 22, 2002"
9,2002-05-10,UFC 37: High Impact,UFC 37: High Impact,,"May 10, 2002"
10,2002-06-22,UFC 37.5: As Real As It Gets,UFC 37.5: As Real As It Gets,,"June 22, 2002"
11,2002-07-13,UFC 38: Brawl at the Hall,UFC 38: Brawl at the Hall,,"July 13, 2002"
12,2002-09-27,UFC 39: The Warriors Return,UFC 39: The Warriors Return,,"September 27, 2002"
13,2002-11-22,UFC 40: Vendetta,UFC 40: Vendetta,,"November 22, 2002"
14,2003-02-28,UFC 41: Onslaught,UFC 41: Onslaught,,"February 28, 2003"
15,2003-04-25,UFC 42: Sudden Impact,UFC 42: Sudden Impact,,"April 25, 2003"
16,2003-06-06,UFC 43: Meltdown,UFC 43: Meltdown,,"June 06, 2003"
17,2003-09-26,UFC 44: Undisputed,UFC 44: Undisputed,,"September 26, 2003"
18,2003-11-21,UFC 45: Revolution,UFC 45: Revolution,,"November 21, 2003"
19,2004-01-31,UFC 46: Supernatural,UFC 46: Supernatural,,"January 31, 2004"
20,2004-04-02,UFC 47: It's On!,UFC 47: It's On!,,"April 02, 2004"
21,2004-06-19,UFC 48: Payback,UFC 48: Payback,,"June 19, 2004"
22,2004-08-21,UFC 49: Unfinished Business,UFC 49: Unfinished Business,,"August 21, 2004"
23,2004-10-22,UFC 50: The War of '04,UFC 50: The War of '04,,"October 22, 2004"
24,2005-02-05,UFC 51: Super Saturday,UFC 51: Super Saturday,,"February 05, 2005"
25,2005-04-09,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,,"April 09, 2005"
26,2005-04-16,UFC 52: Couture vs. Liddell,UFC 52: Couture vs. Liddell,,"April 16, 2005"
27,2005-06-04,UFC 53: Heavy Hitters,UFC 53: Heavy Hitters,,"June 04, 2005"
28,2005-08-06,UFC Ultimate Fight Night,UFC Ultimate Fight Night,,"August 06, 2005"
29,2005-08-20,UFC 54: Boiling Point,UFC 54: Boiling Point,,"August 20, 2005"
30,2005-10-03,UFC Ultimate Fight Night 2,UFC Ultimate Fight Night 2,,"October 03, 2005"
31,2005-10-07,UFC 55: Fury,UFC 55: Fury,,"October 07, 2005"
32,2005-11-05,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,,"November 05, 2005"
33,2005-11-19,UFC 56: Full Force,UFC 56: Full Force,,"November 19, 2005"
34,2006-01-16,UFC Ultimate Fight Night 3,UFC Ultimate Fight Night 3,,"January 16, 2006"
35,2006-02-04,UFC 57: Liddell vs. Couture 3,UFC 57: Liddell vs. Couture 3,,"February 04, 2006"
36,2006-03-04,UFC 58: USA vs. Canada,UFC 58: USA vs. Canada,,"March 04, 2006"
37,2006-04-06,UFC Ultimate Fight Night 4,UFC Ultimate Fight Night 4,,"April 06, 2006"
38,2006-04-15,UFC 59: Reality Check,UFC 59: Reality Check,,"April 15, 2006"
39,2006-05-27,UFC 60: Hughes vs. Gracie,UFC 60: Hughes vs. Gracie,,"May 27, 2006"
